trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
325,False,"{'a': 0.17738654341127089, 'e': 0.09854807967292827}",20,0,14.03574923358083,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
326,False,"{'a': 0.17649961069421452, 'e': 0.09805533927456363}",25,15,18.142199253233336,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.17561711264074345, 'e': 0.09756506257819081}",35,0,-4.200819864018273,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",1
328,False,"{'a': 0.17473902707753974, 'e': 0.09707723726529985}",20,12,15.02562921940893,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.17386533194215203, 'e': 0.09659185107897335}",20,10,-3.7249599755592735,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
330,False,"{'a': 0.17299600528244127, 'e': 0.09610889182357849}",25,13,25.817475032873684,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.17213102525602905, 'e': 0.09562834736446059}",25,14,8.729329759015492,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.17127037012974894, 'e': 0.09515020562763829}",25,1,-101.09929315330184,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 3}",1
333,False,"{'a': 0.17041401827910016, 'e': 0.0946744545995001}",20,12,14.87158662748581,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.16956194818770468, 'e': 0.0942010823265026}",20,0,21.90592918385237,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
335,False,"{'a': 0.16871413844676614, 'e': 0.09373007691487008}",20,4,-14.54846458509847,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
336,False,"{'a': 0.16787056775453232, 'e': 0.09326142653029573}",30,5,-32.80297847283562,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
337,False,"{'a': 0.16703121491575967, 'e': 0.09279511939764426}",20,0,13.904191010530573,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
338,False,"{'a': 0.16619605884118085, 'e': 0.09233114380065603}",25,16,6.433144927257115,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.16536507854697496, 'e': 0.09186948808165275}",30,18,29.38776367905372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.1645382531542401, 'e': 0.09141014064124449}",20,6,22.300271427753145,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.16371556188846886, 'e': 0.09095308993803826}",20,16,7.926946793096008,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.16289698407902653, 'e': 0.09049832448834808}",30,13,30.89803002248503,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.16208249915863138, 'e': 0.09004583286590633}",20,13,12.296978510749422,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.16127208666283827, 'e': 0.0895956037015768}",30,15,24.7245944976546,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.16046572622952404, 'e': 0.08914762568306892}",30,16,13.70648219811744,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.15966339759837642, 'e': 0.08870188755465357}",20,12,12.9042886060805,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.15886508061038454, 'e': 0.0882583781168803}",20,0,28.423677251523316,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
348,False,"{'a': 0.15807075520733263, 'e': 0.0878170862262959}",20,14,11.5439584370902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.15728040143129596, 'e': 0.08737800079516442}",30,19,10.60362421714475,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.1564939994241395, 'e': 0.0869411107911886}",25,16,10.119936835288543,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.1557115294270188, 'e': 0.08650640523723266}",25,11,5.503908352875151,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
352,False,"{'a': 0.1549329717798837, 'e': 0.0860738732110465}",20,15,8.871271124267174,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.15415830692098426, 'e': 0.08564350384499125}",25,5,25.972235677323216,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.15338751538637935, 'e': 0.0852152863257663}",30,20,18.77333354892913,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.15262057780944743, 'e': 0.08478920989413746}",25,17,-24.487773856138794,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
356,False,"{'a': 0.1518574749204002, 'e': 0.08436526384466678}",20,0,24.877472238744826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.1510981875457982, 'e': 0.08394343752544345}",20,16,10.34836404985643,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.1503426966080692, 'e': 0.08352372033781623}",30,17,12.259089849864182,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
359,False,"{'a': 0.14959098312502886, 'e': 0.08310610173612715}",20,13,12.577305485144088,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.14884302820940373, 'e': 0.08269057122744651}",20,6,27.102408027107607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.1480988130683567, 'e': 0.08227711837130929}",30,9,-36.91006091484612,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 1}",1
362,False,"{'a': 0.14735831900301494, 'e': 0.08186573277945274}",20,16,6.962127704222883,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.14662152740799983, 'e': 0.08145640411555546}",25,17,-26.769856363378924,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
364,False,"{'a': 0.14588841977095984, 'e': 0.0810491220949777}",25,0,21.583995893899598,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
365,False,"{'a': 0.14515897767210506, 'e': 0.0806438764845028}",25,14,-22.831706653604968,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
366,False,"{'a': 0.1444331827837445, 'e': 0.08024065710208028}",30,16,23.60658869554912,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.1437110168698258, 'e': 0.07983945381656989}",30,16,23.457708670507515,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.14299246178547667, 'e': 0.07944025654748704}",25,9,9.10092209257871,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
369,False,"{'a': 0.14227749947654927, 'e': 0.0790430552647496}",25,11,23.34807905604538,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.14156611197916655, 'e': 0.07864783998842585}",20,12,12.617694500809707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.1408582814192707, 'e': 0.07825460078848372}",25,17,13.183852965077774,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.14015399001217435, 'e': 0.0778633277845413}",25,11,3.661462084764758,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
373,False,"{'a': 0.13945322006211347, 'e': 0.0774740111456186}",25,13,22.543034414131547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.13875595396180293, 'e': 0.07708664108989051}",30,2,25.367982873435242,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.1380621741919939, 'e': 0.07670120788444106}",25,10,-58.03089384506797,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
376,False,"{'a': 0.13737186332103393, 'e': 0.07631770184501885}",20,0,30.636496614419762,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
377,False,"{'a': 0.13668500400442876, 'e': 0.07593611333579375}",20,0,18.219812105271753,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
378,False,"{'a': 0.1360015789844066, 'e': 0.07555643276911478}",20,0,33.273082228000014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
379,False,"{'a': 0.1353215710894846, 'e': 0.07517865060526921}",20,9,11.694104058051714,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
